idUsuario,nombre,edad,telefono,sexo,telefonoMovil,email
1,Edgar Delgado,30,6022781954,Hombre,3147518301,delgadoedgar@gmail.com
2,Jose Perez,25,60221567103,Hombre,3165013912,joseperez123@gmail.com
3,Maria Urrutia,35,6022901850,Mujer,3108126719,urrumaria@gmail.com
4,Silvana Florez,18,6022187654,Mujer,31156519823,silvanaflorez@gmail.com
5,Mauricio Garcia,22,6022819140,Hombre,3214157818,garciamauricio@gmail.com
6,Melisa Parker,31,6022226066,Mujer,3190116591,meliparker761@gmail.com
7,Antonio Lopez,31,6022116120,Hombre,3183651786,lopezantonio@gmail.com
8,Juan Zambrano,38,6022918617,Hombre,3006541929,juanzambrano90@gmail.com
9,Ana Perlaza,28,6022769911,Mujer,3216571061,perlazaana@gmail.com
10,Miguel Mosquera,25,6022414493,Hombre,3184151621,miguemosquera08@gmail.com
